Language_Type,Toxic_Word_or_Phrase,Context_or_Example_Sentence,Category_of_Toxicity
Hybrid,,I live in Tokyo city,Neutral
English,cock,What a cock,Sexual / Obscene
English,racist,You're such a racist,Hate Speech
Hybrid,ass pedda salladhi,Go ass pedda salladhi yourself,Sexual / Obscene
Telugu,,Nenu dancing dislike chestunnanu,Neutral
Hybrid,troll chavu,troll chavu loser,Harassment / Bullying
Hybrid,shag gudda,You're such a shag gudda,Sexual / Obscene
Hybrid,wanker donga na kodaka,wanker donga na kodaka bastard,Abusive / Insult
English,douchebag,Fucking douchebag,Abusive / Insult
English,piss off,This is piss off shit,Harassment / Bullying
Hybrid,idiot gaadida,I hate idiot gaadidas,Abusive / Insult
Hybrid,moron pichchi,You're such a moron pichchi,Abusive / Insult
Hybrid,plonker erugu,This is plonker erugu shit,Other
English,,This makes me frown,Neutral
Hybrid,stalker chetta,You are a stalker chetta,Harassment / Bullying
Telugu,pichchi kukka,Stop being a pichchi kukka,Hate Speech
Hybrid,dumbass pichchi,Stop being a dumbass pichchi,Abusive / Insult
Hybrid,bellend guddha naku,bellend guddha naku loser,Sexual / Obscene
Hybrid,hater doola lanja,What a hater doola lanja,Hate Speech
Hybrid,dipshit dongana kodaka,dipshit dongana kodaka bastard,Abusive / Insult
Telugu,picchi,picchi loser,Other
Hybrid,bollocks erri pooka,This is bollocks erri pooka shit,Sexual / Obscene
Hybrid,numbskull erugu,You're such a numbskull erugu,Abusive / Insult
English,crap,crap bastard,Other
Hybrid,shithead yedava,Stop being a shithead yedava,Abusive / Insult
Telugu,pichoda,Go pichoda yourself,Abusive / Insult
English,wanker,This is wanker shit,Abusive / Insult
Telugu,chavu,I hate chavus,Harassment / Bullying
Hybrid,homophobe kula gajji,homophobe kula gajji loser,Hate Speech
English,bully,I hate bullys,Harassment / Bullying
English,stupid,stupid bastard,Abusive / Insult
Telugu,chetta vedhava,Stop being a chetta vedhava,Abusive / Insult
Hybrid,cock dengu,What a cock dengu,Sexual / Obscene
Hybrid,islamophobe guddha naku,islamophobe guddha naku bastard,Hate Speech
Hybrid,troll moya,troll moya bastard,Harassment / Bullying
Hybrid,shithead pichoda,Go shithead pichoda yourself,Abusive / Insult
English,frig,What a frig,Other
Hybrid,stalker chavu,You're such a stalker chavu,Harassment / Bullying
Hybrid,anti-semite munda,Fucking anti-semite munda,Hate Speech
English,threat,Fucking threat,Harassment / Bullying
English,,The movie is {genre},Neutral
Hybrid,bugger erugu,Go bugger erugu yourself,Other
Hybrid,harass doola lanja,harass doola lanja loser,Harassment / Bullying
Hybrid,jerk vedava,What a jerk vedava,Abusive / Insult
English,,I enjoy swimming,Neutral
Telugu,pooku,I hate pookus,Sexual / Obscene
Hybrid,numbskull puku,Fucking numbskull puku,Abusive / Insult
Hybrid,homophobe doola lanja,You're such a homophobe doola lanja,Hate Speech
Hybrid,cyberbully nee amma dengu,This is cyberbully nee amma dengu shit,Harassment / Bullying
Telugu,chavu,You are a chavu,Harassment / Bullying
Hybrid,numbskull bosudi,Go numbskull bosudi yourself,Abusive / Insult
Telugu,,Time evening,Neutral
Telugu,,Nenu {food} tinnanu,Neutral
Telugu,vedava,This is vedava shit,Abusive / Insult
Hybrid,stalker pandi vedhava,What a stalker pandi vedhava,Harassment / Bullying
English,bellend,Stop being a bellend,Abusive / Insult
Hybrid,supremacist chetta,Fucking supremacist chetta,Hate Speech
Hybrid,hater lanja munda,Stop being a hater lanja munda,Hate Speech
English,asshole,You are a asshole,Abusive / Insult
Telugu,,Idi nannu muggu chestundi,Neutral
English,misogynist,Stop being a misogynist,Hate Speech
English,motherfucker,What a motherfucker,Sexual / Obscene
English,wanker,You are a wanker,Abusive / Insult
Hybrid,prick pooku,Fucking prick pooku,Sexual / Obscene
English,git,I hate gits,Other
Hybrid,blowjob guddha naku,This is blowjob guddha naku shit,Sexual / Obscene
English,jerk,I hate jerks,Abusive / Insult
Telugu,,Nenu sandwich tinnanu,Neutral
Hybrid,troll kula gajji,troll kula gajji bastard,Harassment / Bullying
English,,That's awesome,Neutral
Telugu,erugu,erugu loser,Abusive / Insult
Hybrid,crap vedava,Stop being a crap vedava,Other
Hybrid,,I appreciate your {person},Neutral
Hybrid,idiot gaadida,What a idiot gaadida,Abusive / Insult
Hybrid,loser vedava,You're such a loser vedava,Abusive / Insult
Hybrid,supremacist puku,Go supremacist puku yourself,Hate Speech
Hybrid,bigot doola lanja,You're such a bigot doola lanja,Hate Speech
Hybrid,,What a wonderful day idi,Neutral
Hybrid,stalker erugu,stalker erugu loser,Harassment / Bullying
English,idiot,Stop being a idiot,Abusive / Insult
Hybrid,git picchi,Stop being a git picchi,Other
Telugu,chavugottu,I hate chavugottus,Harassment / Bullying
Hybrid,kill yourself nee amma dengu,You are a kill yourself nee amma dengu,Harassment / Bullying
Hybrid,islamophobe cheththa vedhava,Go islamophobe cheththa vedhava yourself,Hate Speech
Hybrid,prick guddha naku,Fucking prick guddha naku,Sexual / Obscene
Hybrid,,I disagree with that the doctor,Neutral
Hybrid,,I dislike doing dancing,Neutral
Hybrid,dumbass pichoda,Fucking dumbass pichoda,Abusive / Insult
Telugu,pedda salladhi,You're such a pedda salladhi,Sexual / Obscene
Telugu,chavu,Go chavu yourself,Harassment / Bullying
Hybrid,kill yourself pichchi kukka,Go kill yourself pichchi kukka yourself,Harassment / Bullying
Telugu,erri pooka,I hate erri pookas,Sexual / Obscene
Hybrid,piss picchi,piss picchi loser,Other
Hybrid,prick gudda,Go prick gudda yourself,Sexual / Obscene
Hybrid,threat chavu,You are a threat chavu,Harassment / Bullying
Telugu,chavugottu,Fucking chavugottu,Harassment / Bullying
Hybrid,transphobe doola lanja,Stop being a transphobe doola lanja,Hate Speech
English,moron,Go moron yourself,Abusive / Insult
English,homophobe,Go homophobe yourself,Hate Speech
Hybrid,,I'm worried about future {thing},Neutral
English,islamophobe,This is islamophobe shit,Hate Speech
Hybrid,harass nee amma dengu,You are a harass nee amma dengu,Harassment / Bullying
Hybrid,damn picchi,You are a damn picchi,Other
Telugu,pooku,Fucking pooku,Sexual / Obscene
English,go to hell,go to hell loser,Harassment / Bullying
Hybrid,twat pichchi kukka,You're such a twat pichchi kukka,Sexual / Obscene
Hybrid,die chavu,Go die chavu yourself,Harassment / Bullying
Hybrid,sexist doola lanja,I hate sexist doola lanjas,Hate Speech
English,wank,wank loser,Sexual / Obscene
Hybrid,blowjob munda,blowjob munda loser,Sexual / Obscene
English,fucker,This is fucker shit,Sexual / Obscene
